415.27	2.7255	79.278	0.012614	23.449	26.887	125.30	33.644	42.157	312.19	0.48564	2.0388e-05	0.026486	
415.27	2.7755	80.738	0.012386	23.449	26.886	125.15	33.645	42.162	312.18	0.48562	2.0389e-05	0.026487	
415.27	2.8255	82.199	0.012166	23.448	26.885	125.00	33.646	42.167	312.17	0.48561	2.0389e-05	0.026489	
415.27	2.8755	83.661	0.011953	23.447	26.884	124.85	33.648	42.172	312.15	0.48559	2.0389e-05	0.026491	
415.27	2.9255	85.122	0.011748	23.446	26.883	124.70	33.649	42.177	312.14	0.48557	2.0390e-05	0.026492	
415.27	2.9755	86.584	0.011550	23.446	26.882	124.56	33.650	42.182	312.13	0.48556	2.0390e-05	0.026494	
415.27	3.0255	88.046	0.011358	23.445	26.881	124.42	33.652	42.187	312.12	0.48554	2.0390e-05	0.026496	
415.27	3.0755	89.508	0.011172	23.444	26.880	124.28	33.653	42.192	312.10	0.48552	2.0391e-05	0.026497	
415.27	3.1255	90.970	0.010993	23.443	26.879	124.15	33.655	42.197	312.09	0.48551	2.0391e-05	0.026499	
415.27	3.1755	92.433	0.010819	23.443	26.878	124.01	33.656	42.202	312.08	0.48549	2.0391e-05	0.026500	
415.27	3.2255	93.896	0.010650	23.442	26.877	123.88	33.657	42.207	312.07	0.48548	2.0391e-05	0.026502	
415.27	3.2755	95.359	0.010487	23.441	26.876	123.75	33.659	42.212	312.05	0.48546	2.0392e-05	0.026504	
415.27	3.3255	96.822	0.010328	23.440	26.875	123.62	33.660	42.217	312.04	0.48544	2.0392e-05	0.026505	
415.27	3.3755	98.286	0.010174	23.440	26.874	123.50	33.661	42.222	312.03	0.48543	2.0392e-05	0.026507	
415.27	3.4255	99.749	0.010025	23.439	26.873	123.37	33.663	42.227	312.02	0.48541	2.0393e-05	0.026509	
415.27	3.4755	101.21	0.0098801	23.438	26.872	123.25	33.664	42.233	312.00	0.48539	2.0393e-05	0.026510	
415.27	3.5255	102.68	0.0097392	23.437	26.871	123.13	33.665	42.238	311.99	0.48538	2.0393e-05	0.026512	
415.27	3.5755	104.14	0.0096023	23.437	26.870	123.01	33.667	42.243	311.98	0.48536	2.0394e-05	0.026513	
415.27	3.6255	105.61	0.0094691	23.436	26.869	122.90	33.668	42.248	311.97	0.48534	2.0394e-05	0.026515	
415.27	3.6755	107.07	0.0093395	23.435	26.868	122.78	33.670	42.253	311.96	0.48533	2.0394e-05	0.026517	
415.27	3.7255	108.54	0.0092135	23.434	26.867	122.67	33.671	42.258	311.94	0.48531	2.0395e-05	0.026518	
415.27	3.7755	110.00	0.0090907	23.434	26.866	122.55	33.672	42.263	311.93	0.48529	2.0395e-05	0.026520	
415.27	3.8255	111.47	0.0089712	23.433	26.865	122.44	33.674	42.268	311.92	0.48528	2.0395e-05	0.026522	
415.27	3.8755	112.93	0.0088547	23.432	26.864	122.33	33.675	42.273	311.91	0.48526	2.0395e-05	0.026523	
415.27	3.9255	114.40	0.0087413	23.431	26.863	122.22	33.676	42.278	311.89	0.48524	2.0396e-05	0.026525	
415.27	3.9755	115.87	0.0086306	23.431	26.862	122.12	33.678	42.283	311.88	0.48523	2.0396e-05	0.026527	
415.27	4.0255	117.33	0.0085228	23.430	26.861	122.01	33.679	42.288	311.87	0.48521	2.0396e-05	0.026528	
